Perusahaan,ROA2019,ROE2019,ROI2019,DAR2019,DER2019
ADHI,0.018,0.097,0.018,0.813,4.343
DGIK,0.001,0.002,0.005,0.498,0.991
NRCA,0.041,0.083,0.035,0.504,1.017
PTPP,0.020,0.070,0.002,0.707,2.415
TOTL,0.059,0.163,0.054,0.637,1.751
WIKA,0.042,0.136,0.004,0.691,2.232
WSKT,0.008,0.035,0.008,0.762,3.210
JKON,0.041,0.075,0.046,0.453,0.827
CSIS,-0.020,-0.035,-0.020,0.563,1.289
IDPR,-0.002,-0.004,-0.002,0.393,0.649
TOPS,-0.070,-0.123,-0.068,0.570,1.327
WEGE,0.074,0.122,0.074,0.603,1.520
PBSA,0.018,0.072,0.019,0.256,0.344
SRKN,0.082,0.147,0.081,0.559,1.268
SSIA,0.017,0.038,0.011,0.447,0.807
TAMA,0.012,0.014,0.011,0.836,5.097
